Datum,Mittlere_Temperatur,Temp_max,Temp_min,Regen_mm,Strahlung,Mittlere_Windgeschwindigkeit_km/h,Windboen_km/h,Richtung,Mittlerer_Luftdruck_hPa,Mittlere_Luftfeuchte,Taupunkt,Sonnenscheindauer_Min
2020-04-15,10.64,19.18,2.17,0.00,263.13,8.33,20.82,53,1008.04,35.70,-2.32,670
2020-04-14,7.00,11.40,1.85,0.00,237.89,7.64,19.38,85,1009.30,42.45,-2.95,690
2020-04-13,13.21,19.72,7.01,0.00,185.73,10.42,30.54,192,1001.15,50.84,7.37,460
2020-04-12,17.05,24.67,9.90,0.00,222.68,4.99,21.30,176,1001.79,43.36,6.30,690
2020-04-11,16.56,23.02,8.92,0.00,249.74,7.85,17.58,38,1007.67,42.23,4.21,680
2020-04-10,16.52,23.71,8.91,0.00,232.41,6.36,18.42,71,1008.26,44.10,6.97,670
2020-04-09,16.55,24.00,9.02,0.00,224.35,4.37,17.64,152,1007.97,41.36,4.75,660
2020-04-08,16.43,23.48,9.08,0.00,233.88,4.86,15.30,129,1009.63,38.71,3.44,660
2020-04-07,16.30,24.03,7.78,0.00,237.95,6.95,76.50,65,1012.45,40.07,3.26,660
2020-04-06,15.06,22.95,6.37,0.00,238.09,5.21,24.36,170,1007.13,38.27,2.34,650
2020-04-05,13.58,20.30,6.44,0.00,243.41,8.79,80.06,80,1006.78,37.27,-0.39,660
2020-04-04,10.08,16.04,3.00,0.00,238.39,6.10,49.56,71,1008.00,49.47,0.79,650
2020-04-03,8.68,12.92,3.85,0.04,124.35,8.97,25.26,231,1001.90,51.01,1.20,450
2020-04-02,7.51,14.46,0.16,0.00,235.25,5.03,16.74,173,998.31,40.16,-4.63,650
2020-04-01,5.66,11.70,-0.67,0.00,237.31,7.36,18.78,58,1005.53,37.25,-6.72,650
2020-03-31,4.64,9.26,-0.54,0.00,182.92,7.87,79.20,65,1010.97,41.81,-4.32,600
2020-03-30,4.47,8.44,0.74,0.00,238.78,12.81,32.46,44,1011.48,36.31,-3.35,640
2020-03-29,6.09,10.36,4.15,0.62,45.81,12.40,34.13,113,1007.16,58.84,1.34,120
2020-03-28,11.68,18.34,4.39,0.07,206.78,6.82,61.20,131,1002.32,48.66,1.92,610
2020-03-27,9.47,16.31,3.22,0.00,208.68,6.32,18.78,95,1000.80,46.93,1.79,620
2020-03-26,5.83,10.33,1.06,0.00,206.18,11.85,28.80,47,1002.89,41.96,-3.39,620
2020-03-25,4.65,9.50,-0.70,0.00,216.90,12.78,31.68,43,1008.23,33.65,-9.10,620
2020-03-24,4.61,9.57,-1.35,0.00,219.08,10.91,27.90,72,1014.57,32.29,-9.35,620
